X,Y,OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
-117.8673,34.0054,2215529,401683031,INSUNG NATURAL,VALLEY BLVD,WALNUT,CA,California,91789,2631,44511007,541108,528.00000000000,,000000000,,2.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8644,34.0195,3853609,421410002,VONS,N LEMON AVE,WALNUT,CA,California,91789,2345,44511003,541105,18471.00000000000,2,579284589,,70.00000000000,p,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8591,34.0125,8267989,706152359,B & S FOODS,PASEO DEL PRADO,WALNUT,CA,California,91789,2711,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,2,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8573,34.0115,9460035,717160094,XINTIAN FOODS INC,VALLEY BLVD,WALNUT,CA,California,91789,2705,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8569,34.013,9800809,718882438,GREEN CUBE FOOD INC,PASEO TESORO,WALNUT,CA,California,91789,2725,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,3,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8575,34.0123,12565734,889309548,NATURA'S FOODS OF CALIF INC,PASEO SONRISA,CITY OF INDUSTRY,CA,California,91789,2720,44511002,541104,1584.00000000000,,000000000,,6.00000000000,,,2,PointAddress,M,98.95310000000,INFOGROUP,0
-117.8517,34.0088,4786754,433121370,SAN JOSE INTL MARKET,CURRIER RD,WALNUT,CA,California,91789,3074,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,3,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8502,34.0156,8616024,709044140,BASSI & BASSI INC,VALLEY BLVD,WALNUT,CA,California,91789,2540,44511001,541101,528.00000000000,,000000000,,2.00000000000,,,2,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8517,34.0427,6174318,496423906,STATER BROS MARKETS,AMAR RD,WALNUT,CA,California,91789,5037,44511003,541105,19791.00000000000,2,861921039,,75.00000000000,{,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7741,33.9539,4748977,432452595,CANYON HILLS MARKET INC,CARBON CANYON RD,CHINO HILLS,CA,California,91709,2340,44511001,541101,527.00000000000,,000000000,,2.00000000000,,,3,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8394,33.9743,7770645,683228076,H MART,S DIAMOND BAR BLVD,DIAMOND BAR,CA,California,91765,3414,44511003,541105,26387.00000000000,2,648890002,,100.00000000000,,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8375,33.973,10508219,723050317,NO 1 FOOD,S DIAMOND BAR BLVD,DIAMOND BAR,CA,California,91765,3483,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,4,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8348,34.0004,10879534,724910405,NEWCOM FOOD,GATEWAY CENTER DR,DIAMOND BAR,CA,California,91765,2464,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8104,34.0179,2504497,403299098,BOMBAY BAZAAR,GOLDEN SPRINGS DR,DIAMOND BAR,CA,California,91765,2028,44511003,541105,264.00000000000,,000000000,,1.00000000000,,,4,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8125,34.0002,4204018,425150890,ALBERTSONS,S DIAMOND BAR BLVD,DIAMOND BAR,CA,California,91765,4121,44511003,541105,21110.00000000000,2,579284589,,80.00000000000,D,,7,PointAddress,M,100.00000000000,INFOGROUP,0
